cat_url,sub_cat_url
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010014/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010006/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010002/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010011/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010013/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010005/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010003/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010001/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010007/list
https://www.ruten.com.tw/category/0001,https://www.ruten.com.tw/category/00010012/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020047/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020011/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020007/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020036/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020034/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020035/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020042/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020021/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020040/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020052/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020006/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020037/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020038/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020022/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020018/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020013/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020008/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020014/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020044/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020041/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020033/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020048/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020030/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020019/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020020/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020049/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020005/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020010/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020045/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020001/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020053/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020031/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020032/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020050/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020012/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020025/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020051/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020043/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020039/list
https://www.ruten.com.tw/category/0002,https://www.ruten.com.tw/category/00020046/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030016/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030017/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030011/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030003/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030015/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030006/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030013/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030012/list
https://www.ruten.com.tw/category/0003,https://www.ruten.com.tw/category/00030004/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040017/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040011/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040012/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040004/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040005/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040007/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040016/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040014/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040001/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040002/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040006/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040010/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040003/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040009/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040018/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040008/list
https://www.ruten.com.tw/category/0004,https://www.ruten.com.tw/category/00040015/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050015/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050013/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/000500070006/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050007/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050027/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050001/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050012/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050003/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050002/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050014/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050025/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050008/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050017/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050018/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050024/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050016/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050011/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050009/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050004/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050019/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/00050020/list
https://www.ruten.com.tw/category/0005,https://www.ruten.com.tw/category/000500030007/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060034/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060003/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060026/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060014/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060031/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060011/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060002/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060018/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060001/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060010/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060027/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060033/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060006/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060007/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060013/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060032/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060012/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060016/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060021/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060017/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060009/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060024/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060020/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060030/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060008/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060022/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060019/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060023/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060029/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060015/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060025/list
https://www.ruten.com.tw/category/0006,https://www.ruten.com.tw/category/00060028/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070021/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070018/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070023/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070026/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070011/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070010/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070013/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070019/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070024/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070027/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070022/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070012/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070025/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070020/list
https://www.ruten.com.tw/category/0007,https://www.ruten.com.tw/category/00070008/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080007/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080018/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/000800050023/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080001/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080027/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080008/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080023/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080019/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080009/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080020/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080002/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080021/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080024/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080006/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080003/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080005/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080022/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080026/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080025/list
https://www.ruten.com.tw/category/0008,https://www.ruten.com.tw/category/00080017/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090015/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090018/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090004/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090014/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090019/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090022/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090007/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090001/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090020/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090005/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090021/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090013/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090009/list
https://www.ruten.com.tw/category/0009,https://www.ruten.com.tw/category/00090016/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100001/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100015/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100012/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100014/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100007/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100011/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100010/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100017/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100006/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100013/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100009/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100004/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100016/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100008/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100002/list
https://www.ruten.com.tw/category/0010,https://www.ruten.com.tw/category/00100003/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110015/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110005/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110006/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110013/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110009/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110001/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110018/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110020/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110016/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110017/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110024/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110021/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110008/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110004/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110022/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110002/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110003/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110007/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110019/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110023/list
https://www.ruten.com.tw/category/0011,https://www.ruten.com.tw/category/00110014/list
https://www.ruten.com.tw/category/0012,https://www.ruten.com.tw/category/00120008/list
https://www.ruten.com.tw/category/0012,https://www.ruten.com.tw/category/00120012/list
https://www.ruten.com.tw/category/0012,https://www.ruten.com.tw/category/00120021/list
https://www.ruten.com.tw/category/0012,https://www.ruten.com.tw/category/00120022/list
